sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
128.732,-0.0500531,0.00922506,0.0027086,-0.0547329,0.0222717,0.00535482
128.736,-0.0510519,0.00985913,0.00282191,-0.055748,0.0232177,0.00548756
128.74,-0.052034,0.0104985,0.00293143,-0.0567427,0.0241642,0.00561455
128.744,-0.0529914,0.0111407,0.00303702,-0.0577194,0.0251031,0.00573658
128.748,-0.0539197,0.0117812,0.00313874,-0.0586669,0.0260298,0.00585364
128.752,-0.0548146,0.0124177,0.00323669,-0.0595893,0.0269395,0.00596543
128.756,-0.0556742,0.0130488,0.00333112,-0.0604902,0.0278264,0.00607224
128.76,-0.0564939,0.0136758,0.00342195,-0.0613574,0.0286889,0.00617469
128.764,-0.0572729,0.0142962,0.00350915,-0.0621856,0.0295264,0.00627306
128.768,-0.0580163,0.0149066,0.00359284,-0.0629718,0.0303384,0.00636746
128.772,-0.0587207,0.0155036,0.00367338,-0.0637116,0.0311232,0.00645784
128.776,-0.0593878,0.0160838,0.00375098,-0.0644036,0.0318806,0.0065441
128.78,-0.0600154,0.0166434,0.00382553,-0.0650541,0.0326058,0.00662693
128.784,-0.0605982,0.0171819,0.00389708,-0.065656,0.0332966,0.0067065
128.788,-0.0611331,0.0176976,0.00396577,-0.0662085,0.0339512,0.00678261
128.792,-0.0616184,0.0181911,0.00403197,-0.0667195,0.0345679,0.00685534
128.796,-0.062053,0.0186639,0.00409564,-0.0671869,0.0351453,0.00692506
128.8,-0.0624357,0.0191177,0.00415668,-0.0676035,0.0356853,0.00699214
128.804,-0.0627717,0.019552,0.00421504,-0.0679684,0.0361882,0.0070566
128.808,-0.0630631,0.0199644,0.00427097,-0.0682815,0.0366557,0.00711861
128.812,-0.0633065,0.0203547,0.00432485,-0.0685418,0.0370885,0.0071781
128.816,-0.0635057,0.0207217,0.00437663,-0.0687549,0.0374866,0.0072356
128.82,-0.0636577,0.0210657,0.00442626,-0.0689195,0.0378475,0.00729154
128.824,-0.063761,0.0213862,0.0044739,-0.0690336,0.0381706,0.00734603
128.828,-0.0638163,0.0216843,0.0045198,-0.0690994,0.038455,0.00739899
128.832,-0.0638244,0.0219599,0.00456416,-0.0691216,0.0387011,0.0074506
128.836,-0.0637862,0.0222146,0.00460693,-0.0690968,0.0389108,0.00750095
128.84,-0.0637044,0.0224495,0.00464802,-0.0690247,0.0390851,0.00755006
128.844,-0.0635821,0.0226628,0.00468756,-0.0689055,0.0392241,0.00759796
128.848,-0.0634158,0.0228537,0.00472587,-0.06874,0.0393284,0.00764464
128.852,-0.0632085,0.0230223,0.00476303,-0.0685306,0.0393995,0.00769033
128.856,-0.0629616,0.0231666,0.00479895,-0.0682782,0.0394368,0.00773533
128.86,-0.0626726,0.023288,0.00483374,-0.0679814,0.0394405,0.00777964
128.864,-0.0623429,0.0233884,0.00486758,-0.0676422,0.0394109,0.00782326
128.868,-0.0619738,0.0234677,0.00490067,-0.0672621,0.0393485,0.00786622
128.872,-0.0615663,0.0235258,0.00493296,-0.0668415,0.0392544,0.0079086
128.876,-0.0611229,0.0235646,0.0049642,-0.0663801,0.0391295,0.00795042
128.88,-0.0606459,0.0235831,0.00499435,-0.0658797,0.0389737,0.00799174
128.884,-0.0601352,0.0235813,0.00502356,-0.0653421,0.0387866,0.00803243
128.888,-0.0595916,0.0235592,0.00505191,-0.0647695,0.0385706,0.00807242
128.892,-0.059016,0.0235166,0.00507944,-0.0641618,0.0383284,0.00811169
128.896,-0.0584075,0.0234539,0.00510616,-0.0635211,0.0380604,0.00815027
128.9,-0.0577681,0.0233742,0.00513239,-0.06285,0.0377668,0.00818826
128.904,-0.0571004,0.0232777,0.00515815,-0.0621496,0.0374488,0.00822578
128.908,-0.0564063,0.0231633,0.00518349,-0.0614187,0.0371072,0.00826283
128.912,-0.0556882,0.0230339,0.00520837,-0.0606583,0.0367432,0.00829941
128.916,-0.0549466,0.0228896,0.00523287,-0.059871,0.0363569,0.00833563
128.92,-0.0541822,0.0227303,0.00525704,-0.0590585,0.035947,0.00837147
128.924,-0.0533979,0.0225557,0.00528078,-0.0582234,0.0355141,0.00840677
128.928,-0.0525938,0.0223659,0.00530405,-0.0573633,0.0350636,0.00844127
128.932,-0.051768,0.0221597,0.00532679,-0.0564815,0.0345963,0.00847482
128.936,-0.0509235,0.0219403,0.00534921,-0.055581,0.0341125,0.00850737
128.94,-0.0500627,0.021708,0.00537123,-0.0546637,0.0336128,0.00853908
128.944,-0.0491872,0.0214619,0.00539292,-0.0537277,0.0330971,0.0085701
128.948,-0.0482983,0.0212023,0.00541431,-0.0527724,0.0325662,0.00860032
128.952,-0.0473969,0.0209311,0.00543521,-0.0518026,0.0320215,0.0086299
128.956,-0.0464822,0.0206492,0.00545565,-0.0508207,0.0314627,0.00865895
128.96,-0.0455588,0.0203575,0.00547547,-0.0498293,0.0308888,0.00868737
128.964,-0.0446276,0.0200564,0.00549461,-0.0488252,0.0303043,0.00871466
128.968,-0.0436841,0.0197445,0.00551313,-0.0478098,0.0297129,0.00874066
128.972,-0.0427302,0.0194245,0.00553108,-0.0467894,0.0291145,0.0087654
128.976,-0.0417704,0.0190957,0.00554838,-0.0457668,0.0285103,0.00878903
128.98,-0.0408065,0.018758,0.00556498,-0.0447391,0.0279003,0.00881168
128.984,-0.0398407,0.0184112,0.00558083,-0.0437027,0.0272844,0.00883326
128.988,-0.0388745,0.0180591,0.00559574,-0.0426606,0.0266644,0.00885389
128.992,-0.0379054,0.0177019,0.00560995,-0.0416193,0.0260402,0.00887378
128.996,-0.0369381,0.0173404,0.00562325,-0.0405807,0.0254093,0.00889279
129,-0.0359745,0.0169754,0.00563557,-0.0395437,0.0247745,0.00891058
129.004,-0.0350111,0.0166067,0.00564699,-0.0385045,0.0241417,0.00892692
129.008,-0.0340458,0.0162359,0.00565765,-0.037471,0.0235097,0.00894175
129.012,-0.0330856,0.0158648,0.00566786,-0.0364468,0.0228783,0.00895517
129.016,-0.0321326,0.0154936,0.0056776,-0.0354312,0.0222488,0.0089673
129.02,-0.0311876,0.0151206,0.00568687,-0.0344197,0.0216208,0.00897815
129.024,-0.0302526,0.0147494,0.00569537,-0.0334121,0.0209952,0.0089878
129.028,-0.0293237,0.0143797,0.00570322,-0.0324155,0.0203721,0.00899645
129.032,-0.0284015,0.0140133,0.00571032,-0.0314305,0.0197492,0.00900399
129.036,-0.0274906,0.0136499,0.00571644,-0.0304577,0.0191277,0.00901019
129.04,-0.0265882,0.0132892,0.0057216,-0.0294917,0.0185133,0.00901488
129.044,-0.0256899,0.0129297,0.00572582,-0.0285379,0.0179057,0.00901806
129.048,-0.0248023,0.0125735,0.00572937,-0.0275999,0.0173049,0.00901988
129.052,-0.0239286,0.0122202,0.00573218,-0.0266773,0.016712,0.00902047
129.056,-0.0230701,0.0118687,0.00573433,-0.0257641,0.0161255,0.00901988
129.06,-0.0222285,0.0115201,0.00573583,-0.0248573,0.0155454,0.00901804
129.064,-0.0214022,0.0111742,0.00573666,-0.0239641,0.0149718,0.00901516
129.068,-0.0205879,0.0108325,0.00573702,-0.0230855,0.014403,0.00901139
129.072,-0.0197907,0.0104963,0.00573672,-0.0222232,0.0138379,0.00900663
129.076,-0.0190091,0.0101662,0.00573574,-0.0213732,0.0132804,0.00900069
129.08,-0.0182379,0.00984159,0.00573408,-0.0205337,0.0127328,0.00899359
129.084,-0.017482,0.00952352,0.00573184,-0.0197122,0.0121946,0.00898543
129.088,-0.0167446,0.00921139,0.00572914,-0.0189087,0.0116665,0.00897641
129.092,-0.0160265,0.00890448,0.00572588,-0.0181196,0.0111484,0.00896655
129.096,-0.0153284,0.0086022,0.00572221,-0.0173401,0.0106402,0.00895586
129.1,-0.0146499,0.00830484,0.00571804,-0.0165758,0.0101417,0.00894446
129.104,-0.0139861,0.00801182,0.00571363,-0.0158299,0.0096524,0.00893258
129.108,-0.0133385,0.00772429,0.00570877,-0.0151035,0.00917073,0.00892017
129.112,-0.0127081,0.00744212,0.00570335,-0.0143969,0.00869892,0.00890713
129.116,-0.0120897,0.00716481,0.00569738,-0.0137054,0.0082393,0.00889345
129.12,-0.0114848,0.00689239,0.005691,-0.0130323,0.00779232,0.00887906
129.124,-0.0108977,0.0066256,0.00568444,-0.0123802,0.00735778,0.00886403
129.128,-0.0103295,0.0063634,0.00567759,-0.0117477,0.00693589,0.0088484
129.132,-0.00978065,0.00610454,0.00567051,-0.0111291,0.00652543,0.00883228
129.136,-0.00925211,0.00584974,0.00566315,-0.0105249,0.00612737,0.00881565
129.14,-0.00874128,0.00559828,0.00565569,-0.00994068,0.00574022,0.00879867
129.144,-0.00824503,0.00535116,0.00564813,-0.00937644,0.00536225,0.00878137
129.148,-0.00776631,0.00510916,0.00564036,-0.00883285,0.00499338,0.00876373
129.152,-0.00730212,0.00487269,0.00563239,-0.00830777,0.00463538,0.00874586
129.156,-0.00685049,0.00464195,0.00562436,-0.00779807,0.00428824,0.00872767
129.16,-0.00641554,0.00441669,0.00561641,-0.00730816,0.00395201,0.00870916
129.164,-0.00599825,0.00419629,0.00560865,-0.00683769,0.00362701,0.00869043
